id,latitude,longitude,interactions
4519,55.74251507,12.55799363,1
606,55.7836855,12.4894212,1
8884,55.75389010000001,12.539717300000001,3
1552,55.78376579999999,12.489341900000001,1
906,55.7720019,12.5066352,1
897,55.7722454,12.505282699999999,1
848,55.7770971,12.496692300000001,1
4953,55.78362190000001,12.5192093,1
2462,55.783637600000006,12.5191357,1
23631,55.7836436,12.519202,3
3646,55.771869099999996,12.507228999999999,1
902,55.7719959,12.506625999999999,1
947,55.7710921,12.5072053,1
2788,55.7836074,12.519438099999999,1
3970,55.783737699999996,12.489331,1
23633,55.7836436,12.519202,1
8943,55.6812353,12.5763265,1
